ALL CLASSES,SCHEDULED TRIBES,21,ANANTHAPUR,29469,42531,5007,33691,38698
ALL CLASSES,SCHEDULED TRIBES,22,CHITTOOR,16039,12322,3421,5190,8611
ALL CLASSES,ALL SOCIAL GROUPS,1,ADILABAD,519995,728579,85925,565374,651299
ALL CLASSES,ALL SOCIAL GROUPS,2,NIZAMABAD,473528,434476,373903,205407,579310
ALL CLASSES,ALL SOCIAL GROUPS,3,KARIMNAGAR,662345,638690,518545,141753,660297
ALL CLASSES,ALL SOCIAL GROUPS,4,MEDAK,684543,662932,206718,352607,559325
ALL CLASSES,ALL SOCIAL GROUPS,5,RANGAREDDY,342671,419634,80097,153564,233661
ALL CLASSES,ALL SOCIAL GROUPS,6,MAHABUBNAGAR,982314,1204862,304133,712773,1016906
ALL CLASSES,ALL SOCIAL GROUPS,7,NALGONDA,757188,904236,479426,311525,790951
ALL CLASSES,ALL SOCIAL GROUPS,8,WARANGAL,663061,667311,427059,202812,629872
ALL CLASSES,ALL SOCIAL GROUPS,9,KHAMMAM,468337,536105,286195,274898,561094
ALL CLASSES,ALL SOCIAL GROUPS,10,SRIKAKULAM,525870,349412,265126,194922,460048
ALL CLASSES,ALL SOCIAL GROUPS,11,VIZIANAGARAM,446841,342484,167358,198006,365364
ALL CLASSES,ALL SOCIAL GROUPS,12,VISAKHAPATNAM,474738,400083,180938,204075,385013
ALL CLASSES,ALL SOCIAL GROUPS,13,EAST GODAVARI,698714,501366,493411,181289,674700
ALL CLASSES,ALL SOCIAL GROUPS,14,WEST GODAVARI,565831,470051,682442,31174,713616
ALL CLASSES,ALL SOCIAL GROUPS,15,KRISHNA,551567,508413,432948,295676,728624
ALL CLASSES,ALL SOCIAL GROUPS,16,GUNTUR,760648,701404,551587,305034,856621
ALL CLASSES,ALL SOCIAL GROUPS,17,PRAKASAM,670553,847508,229861,506604,736465
ALL CLASSES,ALL SOCIAL GROUPS,18,NELLORE,457015,478919,386668,109497,496165
ALL CLASSES,ALL SOCIAL GROUPS,19,KADAPA,441306,542399,187658,309785,497444
ALL CLASSES,ALL SOCIAL GROUPS,20,KURNOOL,632902,1050086,253753,745416,999168
ALL CLASSES,ALL SOCIAL GROUPS,21,ANANTHAPUR,727951,1278010,186464,977272,1163737
ALL CLASSES,ALL SOCIAL GROUPS,22,CHITTOOR,667182,626306,205440,237429,442869
20.0 & ABOVE,SCHEDULED CASTE,1,ADILABAD,17,599,21,471,493
20.0 & ABOVE,SCHEDULED CASTE,2,NIZAMABAD,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,3,KARIMNAGAR,8,200,54,46,100
20.0 & ABOVE,SCHEDULED CASTE,4,MEDAK,6,221,2,186,188
20.0 & ABOVE,SCHEDULED CASTE,5,RANGAREDDY,8,242,12,81,93
20.0 & ABOVE,SCHEDULED CASTE,6,MAHABUBNAGAR,18,660,32,386,418
20.0 & ABOVE,SCHEDULED CASTE,7,NALGONDA,3,89,34,0,34
20.0 & ABOVE,SCHEDULED CASTE,8,WARANGAL,36,1502,343,624,968
20.0 & ABOVE,SCHEDULED CASTE,9,KHAMMAM,4,173,62,25,87
20.0 & ABOVE,SCHEDULED CASTE,10,SRIKAKULAM,1,43,21,0,21
20.0 & ABOVE,SCHEDULED CASTE,11,VIZIANAGARAM,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,12,VISAKHAPATNAM,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,13,EAST GODAVARI,2,41,21,0,21
20.0 & ABOVE,SCHEDULED CASTE,14,WEST GODAVARI,2,62,14,18,31
20.0 & ABOVE,SCHEDULED CASTE,15,KRISHNA,10,298,86,63,149
20.0 & ABOVE,SCHEDULED CASTE,16,GUNTUR,7,147,74,0,74
20.0 & ABOVE,SCHEDULED CASTE,17,PRAKASAM,6,183,31,60,91
20.0 & ABOVE,SCHEDULED CASTE,18,NELLORE,1,27,14,0,14
20.0 & ABOVE,SCHEDULED CASTE,19,KADAPA,1,24,0,12,12
20.0 & ABOVE,SCHEDULED CASTE,20,KURNOOL,9,351,23,192,215
20.0 & ABOVE,SCHEDULED CASTE,21,ANANTHAPUR,11,286,0,143,143
20.0 & ABOVE,SCHEDULED CASTE,22,CHITTOOR,9,314,89,100,189
20.0 & ABOVE,OTHERS,1,ADILABAD,234,8200,389,4446,4835
20.0 & ABOVE,OTHERS,2,NIZAMABAD,35,999,285,183,468
20.0 & ABOVE,OTHERS,3,KARIMNAGAR,131,4390,1853,371,2224
20.0 & ABOVE,OTHERS,4,MEDAK,215,6419,1093,2696,3788
20.0 & ABOVE,OTHERS,5,RANGAREDDY,149,4313,715,922,1637
20.0 & ABOVE,OTHERS,6,MAHABUBNAGAR,341,10275,1380,3018,4397
20.0 & ABOVE,OTHERS,7,NALGONDA,159,5109,1348,1246,2595
20.0 & ABOVE,OTHERS,8,WARANGAL,287,9234,1508,4882,6390
20.0 & ABOVE,OTHERS,9,KHAMMAM,159,6578,2089,3268,5357
20.0 & ABOVE,OTHERS,10,SRIKAKULAM,57,2182,1007,311,1318
20.0 & ABOVE,OTHERS,11,VIZIANAGARAM,79,2539,755,695,1450
20.0 & ABOVE,OTHERS,12,VISAKHAPATNAM,31,942,451,153,604
20.0 & ABOVE,OTHERS,13,EAST GODAVARI,64,1887,595,475,1070
20.0 & ABOVE,OTHERS,14,WEST GODAVARI,48,1659,970,272,1242
20.0 & ABOVE,OTHERS,15,KRISHNA,59,1884,804,481,1285
20.0 & ABOVE,OTHERS,16,GUNTUR,38,1206,374,229,603
20.0 & ABOVE,OTHERS,17,PRAKASAM,151,4347,450,1691,2141
20.0 & ABOVE,OTHERS,18,NELLORE,157,4883,1359,1138,2497
20.0 & ABOVE,OTHERS,19,KADAPA,43,1709,313,537,850
20.0 & ABOVE,OTHERS,20,KURNOOL,235,8707,885,5286,6171
20.0 & ABOVE,OTHERS,21,ANANTHAPUR,367,11401,1235,7573,8808
20.0 & ABOVE,OTHERS,22,CHITTOOR,123,3571,375,1397,1772
20.0 & ABOVE,SCHEDULED TRIBES,1,ADILABAD,93,2715,16,602,618
20.0 & ABOVE,SCHEDULED TRIBES,2,NIZAMABAD,2,67,33,0,33
20.0 & ABOVE,SCHEDULED TRIBES,3,KARIMNAGAR,3,92,25,21,46
20.0 & ABOVE,SCHEDULED TRIBES,4,MEDAK,3,113,0,57,57
20.0 & ABOVE,SCHEDULED TRIBES,5,RANGAREDDY,8,253,26,87,113
20.0 & ABOVE,SCHEDULED TRIBES,6,MAHABUBNAGAR,16,622,137,146,283
20.0 & ABOVE,SCHEDULED TRIBES,7,NALGONDA,3,89,1,38,40
20.0 & ABOVE,SCHEDULED TRIBES,8,WARANGAL,23,627,130,294,424
20.0 & ABOVE,SCHEDULED TRIBES,9,KHAMMAM,37,999,454,122,576
20.0 & ABOVE,SCHEDULED TRIBES,10,SRIKAKULAM,1,21,0,10,10
20.0 & ABOVE,SCHEDULED TRIBES,11,VIZIANAGARAM,3,67,6,38,44
20.0 & ABOVE,SCHEDULED TRIBES,12,VISAKHAPATNAM,42,1049,140,424,564
20.0 & ABOVE,SCHEDULED TRIBES,13,EAST GODAVARI,25,664,144,101,246
20.0 & ABOVE,SCHEDULED TRIBES,14,WEST GODAVARI,4,406,608,0,608
20.0 & ABOVE,SCHEDULED TRIBES,15,KRISHNA,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,16,GUNTUR,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,17,PRAKASAM,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,18,NELLORE,2,63,31,0,31
20.0 & ABOVE,SCHEDULED TRIBES,19,KADAPA,1,41,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,20,KURNOOL,2,58,0,29,29
20.0 & ABOVE,SCHEDULED TRIBES,21,ANANTHAPUR,4,103,10,65,75
20.0 & ABOVE,SCHEDULED TRIBES,22,CHITTOOR,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,1,ADILABAD,350,11906,487,5655,6142
20.0 & ABOVE,ALL SOCIAL GROUPS,2,NIZAMABAD,47,1591,581,183,764
20.0 & ABOVE,ALL SOCIAL GROUPS,3,KARIMNAGAR,146,4950,2048,450,2499
20.0 & ABOVE,ALL SOCIAL GROUPS,4,MEDAK,240,8764,1908,3204,5112
20.0 & ABOVE,ALL SOCIAL GROUPS,5,RANGAREDDY,175,5127,839,1123,1962
20.0 & ABOVE,ALL SOCIAL GROUPS,6,MAHABUBNAGAR,379,11934,1549,3738,5286
20.0 & ABOVE,ALL SOCIAL GROUPS,7,NALGONDA,195,7065,1741,1569,3311
20.0 & ABOVE,ALL SOCIAL GROUPS,8,WARANGAL,347,11428,1981,5833,7814
20.0 & ABOVE,ALL SOCIAL GROUPS,9,KHAMMAM,212,9260,2843,3727,6570
20.0 & ABOVE,ALL SOCIAL GROUPS,10,SRIKAKULAM,100,4395,1704,976,2680
20.0 & ABOVE,ALL SOCIAL GROUPS,11,VIZIANAGARAM,99,3363,930,998,1929
20.0 & ABOVE,ALL SOCIAL GROUPS,12,VISAKHAPATNAM,83,2857,877,871,1749
20.0 & ABOVE,ALL SOCIAL GROUPS,13,EAST GODAVARI,134,4565,1658,1031,2688
20.0 & ABOVE,ALL SOCIAL GROUPS,14,WEST GODAVARI,80,3038,2184,290,2474
20.0 & ABOVE,ALL SOCIAL GROUPS,15,KRISHNA,72,2274,890,566,1456
20.0 & ABOVE,ALL SOCIAL GROUPS,16,GUNTUR,117,5694,2937,833,3770
20.0 & ABOVE,ALL SOCIAL GROUPS,17,PRAKASAM,188,5877,578,2290,2868
20.0 & ABOVE,ALL SOCIAL GROUPS,18,NELLORE,238,9420,2670,2357,5027
20.0 & ABOVE,ALL SOCIAL GROUPS,19,KADAPA,50,2355,604,549,1153
20.0 & ABOVE,ALL SOCIAL GROUPS,20,KURNOOL,261,10470,957,6197,7153
20.0 & ABOVE,ALL SOCIAL GROUPS,21,ANANTHAPUR,424,14504,1259,9187,10446
20.0 & ABOVE,ALL SOCIAL GROUPS,22,CHITTOOR,148,5839,1129,1715,2844
Below 0.5,SCHEDULED CASTE,1,ADILABAD,27860,7194,1568,4759,6327
Below 0.5,SCHEDULED CASTE,2,NIZAMABAD,32389,9171,8604,3303,11907
Below 0.5,SCHEDULED CASTE,3,KARIMNAGAR,53893,13581,9649,3759,13408
Below 0.5,SCHEDULED CASTE,4,MEDAK,54402,13355,2940,7691,10631
Below 0.5,SCHEDULED CASTE,5,RANGAREDDY,20453,5653,874,1957,2831
Below 0.5,SCHEDULED CASTE,6,MAHABUBNAGAR,52850,13806,2398,8093,10491
Below 0.5,SCHEDULED CASTE,7,NALGONDA,44621,11269,6214,2792,9006
Below 0.5,SCHEDULED CASTE,8,WARANGAL,46586,11541,5968,4234,10202
Below 0.5,SCHEDULED CASTE,9,KHAMMAM,25926,6764,4368,2749,7117
Below 0.5,SCHEDULED CASTE,10,SRIKAKULAM,20820,4478,3091,2835,5926
Below 0.5,SCHEDULED CASTE,11,VIZIANAGARAM,14612,3369,1568,2258,3827
Below 0.5,SCHEDULED CASTE,12,VISAKHAPATNAM,6496,1686,1061,741,1803
Below 0.5,SCHEDULED CASTE,13,EAST GODAVARI,50970,10531,11324,4763,16087
Below 0.5,SCHEDULED CASTE,14,WEST GODAVARI,32978,8154,11053,562,11616
Below 0.5,SCHEDULED CASTE,15,KRISHNA,34744,8463,7096,4853,11950
Below 0.5,SCHEDULED CASTE,16,GUNTUR,34152,9038,6942,4435,11376
Below 0.5,SCHEDULED CASTE,17,PRAKASAM,33565,9327,2467,5548,8015
Below 0.5,SCHEDULED CASTE,18,NELLORE,52898,13439,12236,1469,13705
Below 0.5,SCHEDULED CASTE,19,KADAPA,15238,4442,2283,1097,3381
Below 0.5,SCHEDULED CASTE,20,KURNOOL,21154,6841,3297,3684,6981
Below 0.5,SCHEDULED CASTE,21,ANANTHAPUR,15192,4823,696,3605,4302
Below 0.5,SCHEDULED CASTE,22,CHITTOOR,48943,12497,4409,4250,8658
Below 0.5,OTHERS,1,ADILABAD,97929,25117,6790,16043,22833
Below 0.5,OTHERS,2,NIZAMABAD,143661,38735,33315,14075,47390
Below 0.5,OTHERS,3,KARIMNAGAR,212595,55466,40089,14147,54236
Below 0.5,OTHERS,4,MEDAK,224181,54025,14594,27146,41740
Below 0.5,OTHERS,5,RANGAREDDY,78342,22304,5157,6272,11429
Below 0.5,OTHERS,6,MAHABUBNAGAR,242235,61655,12610,32673,45283
Below 0.5,OTHERS,7,NALGONDA,182175,49350,30735,11361,42097
Below 0.5,OTHERS,8,WARANGAL,192585,47874,29271,14983,44254
