A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,ALL CLASSES,1,FERRARGUNJ,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,ALL CLASSES,2,PORT BLAIR,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,ALL CLASSES,3,LITTLE ANDAMAN,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,ALL SOCIAL GROUPS,ALL CLASSES,1,FERRARGUNJ,2542,4261,1,2962,2963
A & N ISLANDS,SOUTH ANDAMAN,ALL SOCIAL GROUPS,ALL CLASSES,2,PORT BLAIR,2117,2685,1,2962,2963
A & N ISLANDS,SOUTH ANDAMAN,ALL SOCIAL GROUPS,ALL CLASSES,3,LITTLE ANDAMAN,555,980,1,2962,2963
A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,20.0 & ABOVE,1,FERRARGUNJ,9,753,0,602,602
A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,20.0 & ABOVE,2,PORT BLAIR,1,40,0,602,602
A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,20.0 & ABOVE,3,LITTLE ANDAMAN,0,0,0,602,602
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,20.0 & ABOVE,1,FERRARGUNJ,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,20.0 & ABOVE,2,PORT BLAIR,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,20.0 & ABOVE,3,LITTLE ANDAMAN,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,OTHERS,20.0 & ABOVE,1,FERRARGUNJ,1,21,0,19,19
A & N ISLANDS,SOUTH ANDAMAN,OTHERS,20.0 & ABOVE,2,PORT BLAIR,0,0,0,19,19
A & N ISLANDS,SOUTH ANDAMAN,OTHERS,20.0 & ABOVE,3,LITTLE ANDAMAN,0,0,0,19,19
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,20.0 & ABOVE,1,FERRARGUNJ,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,20.0 & ABOVE,2,PORT BLAIR,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,20.0 & ABOVE,3,LITTLE ANDAMAN,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,ALL SOCIAL GROUPS,20.0 & ABOVE,1,FERRARGUNJ,10,774,0,621,621
A & N ISLANDS,SOUTH ANDAMAN,ALL SOCIAL GROUPS,20.0 & ABOVE,2,PORT BLAIR,1,40,0,621,621
A & N ISLANDS,SOUTH ANDAMAN,ALL SOCIAL GROUPS,20.0 & ABOVE,3,LITTLE ANDAMAN,0,0,0,621,621
A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,1.0-2.0,1,FERRARGUNJ,14,19,0,12,12
A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,1.0-2.0,2,PORT BLAIR,3,5,0,12,12
A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,1.0-2.0,3,LITTLE ANDAMAN,0,0,0,12,12
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,1.0-2.0,1,FERRARGUNJ,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,1.0-2.0,2,PORT BLAIR,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,1.0-2.0,3,LITTLE ANDAMAN,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,OTHERS,1.0-2.0,1,FERRARGUNJ,812,1152,0,796,796
A & N ISLANDS,SOUTH ANDAMAN,OTHERS,1.0-2.0,2,PORT BLAIR,441,669,0,796,796
