A & N ISLANDS,NORTH & MIDDLE ANDAMANS,ALL SOCIAL GROUPS,Below 0.5,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
A & N ISLANDS,NORTH & MIDDLE ANDAMANS,ALL SOCIAL GROUPS,Below 0.5,1,DIGLIPUR,652,136,652,136,0,0,0,0,0,0
A & N ISLANDS,NORTH & MIDDLE ANDAMANS,ALL SOCIAL GROUPS,Below 0.5,2,MAYABUNDER,357,76,357,76,0,0,0,0,0,0
A & N ISLANDS,NORTH & MIDDLE ANDAMANS,ALL SOCIAL GROUPS,Below 0.5,3,RANGAT,410,101,410,101,0,0,0,0,0,0
A & N ISLANDS,NICOBAR,INSTITUTIONAL,Below 0.5,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
A & N ISLANDS,NICOBAR,INSTITUTIONAL,Below 0.5,1,CAMPBELL BAY,30,3,30,3,0,0,0,0,0,0
A & N ISLANDS,NICOBAR,SCHEDULED CASTE,Below 0.5,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
A & N ISLANDS,NICOBAR,SCHEDULED CASTE,Below 0.5,1,CAMPBELL BAY,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,NICOBAR,OTHERS,Below 0.5,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
A & N ISLANDS,NICOBAR,OTHERS,Below 0.5,1,CAMPBELL BAY,73,12,73,12,0,0,0,0,0,0
A & N ISLANDS,NICOBAR,SCHEDULED TRIBES,Below 0.5,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
A & N ISLANDS,NICOBAR,SCHEDULED TRIBES,Below 0.5,1,CAMPBELL BAY,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,NICOBAR,ALL SOCIAL GROUPS,Below 0.5,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
A & N ISLANDS,NICOBAR,ALL SOCIAL GROUPS,Below 0.5,1,CAMPBELL BAY,103,15,103,15,0,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,ALL CLASSES,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,ALL CLASSES,1,FERRARGUNJ,59,945,51,743,0,0,5,196,3,6
A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,ALL CLASSES,2,PORT BLAIR,30,103,30,103,0,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,ALL CLASSES,3,LITTLE ANDAMAN,1,10,1,10,0,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,ALL CLASSES,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,ALL CLASSES,1,FERRARGUNJ,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,ALL CLASSES,2,PORT BLAIR,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,ALL CLASSES,3,LITTLE ANDAMAN,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,OTHERS,ALL CLASSES,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
A & N ISLANDS,SOUTH ANDAMAN,OTHERS,ALL CLASSES,1,FERRARGUNJ,2483,3316,2358,3112,6,19,52,76,67,109
A & N ISLANDS,SOUTH ANDAMAN,OTHERS,ALL CLASSES,2,PORT BLAIR,2087,2582,2087,2582,0,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,OTHERS,ALL CLASSES,3,LITTLE ANDAMAN,554,970,554,970,0,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,ALL CLASSES,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,ALL CLASSES,1,FERRARGUNJ,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,ALL CLASSES,2,PORT BLAIR,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,ALL CLASSES,3,LITTLE ANDAMAN,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,ALL SOCIAL GROUPS,ALL CLASSES,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
A & N ISLANDS,SOUTH ANDAMAN,ALL SOCIAL GROUPS,ALL CLASSES,1,FERRARGUNJ,2542,4261,2409,3855,6,19,57,273,70,115
A & N ISLANDS,SOUTH ANDAMAN,ALL SOCIAL GROUPS,ALL CLASSES,2,PORT BLAIR,2117,2685,2117,2685,0,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,ALL SOCIAL GROUPS,ALL CLASSES,3,LITTLE ANDAMAN,555,980,555,980,0,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,20.0 & ABOVE,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,20.0 & ABOVE,1,FERRARGUNJ,9,753,7,581,0,0,2,172,0,0
